time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
20:43:51:618,0.0044,0.0960,-0.0301,0.101
20:43:51:623,0.0226,0.0980,-0.0513,0.113
20:43:51:628,0.0311,0.1001,-0.0679,0.125
20:43:51:633,0.0253,0.0975,-0.0705,0.123
20:43:51:638,0.0196,0.1306,-0.0711,0.150
20:43:51:643,0.1278,0.1092,-0.0915,0.191
20:43:51:648,0.1141,0.1167,-0.0839,0.184
20:43:51:652,-0.0490,0.1263,-0.0265,0.138
20:43:51:661,-0.0850,0.1050,0.0024,0.135
20:43:51:662,-0.0494,0.0862,0.0029,0.099
20:43:51:667,-0.0734,0.0651,-0.0343,0.104
20:43:51:674,-0.0570,0.0512,-0.0737,0.106
20:43:51:676,-0.0646,0.0230,-0.1176,0.136
20:43:51:682,-0.0674,-0.0025,-0.1329,0.149
20:43:51:687,-0.0561,0.0029,-0.1438,0.154
20:43:51:691,-0.0544,0.0011,-0.1310,0.142
20:43:51:696,-0.0315,-0.0173,-0.1328,0.138
20:43:51:702,-0.0088,-0.0142,-0.1252,0.126
20:43:51:706,0.0160,-0.0088,-0.1058,0.107
20:43:51:711,0.0217,0.0060,-0.0866,0.089
20:43:51:715,0.0630,0.0446,-0.0603,0.098
20:43:51:721,0.0779,0.0450,-0.0342,0.096
20:43:51:726,0.1261,0.0550,-0.0392,0.143
20:43:51:731,0.1313,0.0653,-0.0061,0.147
20:43:51:735,0.1318,0.0258,0.0053,0.134
20:43:51:742,0.1088,-0.0038,0.0332,0.114
20:43:51:746,0.0931,-0.0496,0.0704,0.127
20:43:51:750,0.0729,-0.0949,0.0744,0.141
20:43:51:756,0.0244,-0.1185,0.0903,0.151
20:43:51:761,0.0025,-0.1681,0.0898,0.191
20:43:51:769,-0.0288,-0.1508,0.0775,0.172
20:43:51:770,-0.0621,-0.1526,0.0417,0.170
20:43:51:782,-0.0761,-0.1377,0.0346,0.161
20:43:51:782,-0.1066,-0.1349,0.0299,0.175
20:43:51:785,-0.1250,-0.1392,0.0276,0.189
20:43:51:789,-0.1363,-0.1079,0.0157,0.175
20:43:51:794,-0.1498,-0.1219,0.0132,0.194
20:43:51:798,-0.1751,-0.1146,0.0201,0.210
20:43:51:804,-0.1457,-0.1310,0.0101,0.196
20:43:51:809,-0.1355,-0.1329,0.0118,0.190
20:43:51:814,-0.1207,-0.1443,0.0370,0.192
20:43:51:819,-0.1108,-0.1770,0.0547,0.216
20:43:51:823,-0.1106,-0.1881,0.0770,0.231
20:43:51:828,-0.1151,-0.1992,0.1134,0.256
20:43:51:833,-0.0982,-0.2079,0.1282,0.263
20:43:51:837,-0.0814,-0.2069,0.1501,0.268
20:43:51:844,-0.0862,-0.1990,0.1483,0.263
20:43:51:848,-0.1003,-0.1887,0.1299,0.250
20:43:51:853,-0.1120,-0.1643,0.1117,0.228
20:43:51:860,-0.1307,-0.1638,0.1056,0.235
20:43:51:863,-0.1255,-0.1467,0.0851,0.211
20:43:51:873,-0.1250,-0.1178,0.0839,0.191
20:43:51:873,-0.1151,-0.0772,0.0732,0.157
20:43:51:876,-0.0956,-0.0938,0.0815,0.157
20:43:51:881,-0.1001,-0.0912,0.0873,0.161
20:43:51:887,-0.0972,-0.1146,0.0787,0.170
20:43:51:893,-0.0897,-0.1307,0.0820,0.178
20:43:51:897,-0.0585,-0.1631,0.0947,0.197
20:43:51:902,-0.0702,-0.1858,0.1072,0.226
20:43:51:906,-0.0463,-0.1727,0.1030,0.206
20:43:51:912,-0.0415,-0.1930,0.1036,0.223
