time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
20:50:08:202,-0.1197,0.0562,-0.1841,0.227
20:50:08:207,-0.1815,0.0711,-0.1975,0.278
20:50:08:213,-0.2634,0.1120,-0.2081,0.354
20:50:08:215,-0.2702,0.1238,-0.1996,0.358
20:50:08:220,-0.3257,0.1236,-0.1649,0.385
20:50:08:227,-0.3487,0.0925,-0.1188,0.380
20:50:08:234,-0.3682,0.0972,-0.0737,0.388
20:50:08:237,-0.3509,0.0545,-0.0508,0.359
20:50:08:248,-0.3261,0.0240,-0.0337,0.329
20:50:08:249,-0.2914,0.0011,-0.0293,0.293
20:50:08:251,-0.2705,-0.0169,-0.0186,0.272
20:50:08:256,-0.2231,-0.0750,0.0366,0.238
20:50:08:259,-0.1873,-0.1137,0.1101,0.245
20:50:08:265,-0.1606,-0.1521,0.1926,0.293
20:50:08:273,-0.1524,-0.1998,0.2416,0.349
20:50:08:275,-0.1175,-0.1951,0.2527,0.340
20:50:08:280,-0.1131,-0.1787,0.2289,0.312
20:50:08:285,-0.0962,-0.1272,0.1752,0.237
20:50:08:290,-0.0978,-0.0857,0.1155,0.174
20:50:08:295,-0.2013,-0.0517,0.0470,0.213
20:50:08:298,-0.2875,0.0271,-0.0635,0.296
20:50:08:307,-0.3523,0.0649,-0.1683,0.396
20:50:08:309,-0.4080,0.1120,-0.2391,0.486
20:50:08:315,-0.4337,0.1090,-0.3045,0.541
20:50:08:319,-0.4154,0.1133,-0.3075,0.529
20:50:08:329,-0.3392,0.1009,-0.2889,0.457
20:50:08:330,-0.2478,0.0625,-0.2413,0.351
20:50:08:335,-0.1720,0.0243,-0.1624,0.238
20:50:08:347,-0.0877,-0.0304,-0.0924,0.131
20:50:08:348,0.0434,-0.0399,-0.0334,0.068
20:50:08:349,0.1783,-0.0259,-0.0136,0.181
20:50:08:353,0.2674,-0.0290,-0.0423,0.272
20:50:08:358,0.3278,-0.0465,-0.0577,0.336
20:50:08:364,0.3335,-0.0689,-0.0981,0.354
20:50:08:368,0.3136,-0.0842,-0.1328,0.351
20:50:08:375,0.2634,-0.1089,-0.1742,0.334
20:50:08:377,0.2401,-0.1262,-0.2035,0.339
20:50:08:383,0.1604,-0.1434,-0.2354,0.319
20:50:08:389,0.1288,-0.1081,-0.2439,0.296
20:50:08:393,0.0999,-0.1156,-0.2505,0.293
20:50:08:398,0.0377,-0.0827,-0.2481,0.264
20:50:08:403,-0.0197,-0.0594,-0.2295,0.238
20:50:08:408,-0.0346,-0.0338,-0.1825,0.189
20:50:08:412,-0.0858,0.0413,-0.1212,0.154
20:50:08:416,-0.1568,0.1704,-0.0929,0.250
20:50:08:426,-0.1455,0.2651,-0.0613,0.309
20:50:08:427,-0.1379,0.3588,-0.0879,0.394
20:50:08:445,-0.0719,0.4231,-0.1911,0.470
20:50:08:446,0.0045,0.4298,-0.2779,0.512
20:50:08:447,0.0962,0.4551,-0.3245,0.567
20:50:08:448,0.1394,0.4587,-0.3172,0.575
20:50:08:451,0.2347,0.4241,-0.3085,0.575
20:50:08:457,0.3418,0.3634,-0.2988,0.582
20:50:08:460,0.3803,0.3054,-0.3237,0.585
20:50:08:466,0.4244,0.2073,-0.3547,0.591
20:50:08:471,0.4078,0.1098,-0.3613,0.556
20:50:08:476,0.3688,0.0202,-0.3537,0.511
20:50:08:481,0.3309,-0.0543,-0.3610,0.493
20:50:08:486,0.3105,-0.0592,-0.3360,0.461
20:50:08:490,0.3001,-0.0236,-0.3098,0.432
20:50:08:496,0.3469,0.0071,-0.2610,0.434
20:50:08:499,0.3482,0.0069,-0.1657,0.386
20:50:08:506,0.2899,-0.0075,-0.1286,0.317
20:50:08:511,0.3102,-0.0169,-0.0706,0.319
20:50:08:515,0.2848,0.0046,-0.0413,0.288
20:50:08:519,0.2405,0.0378,0.0192,0.244
20:50:08:529,0.2199,0.1228,0.0635,0.260
20:50:08:530,0.1922,0.2354,0.0326,0.306
20:50:08:545,0.2001,0.3233,-0.0279,0.381
20:50:08:546,0.1936,0.4174,-0.0914,0.469
20:50:08:547,0.2088,0.4916,-0.1246,0.548
20:50:08:549,0.2243,0.5317,-0.1707,0.602
20:50:08:554,0.2569,0.5192,-0.2128,0.617
20:50:08:559,0.2922,0.4593,-0.2611,0.604
20:50:08:565,0.3139,0.4021,-0.2800,0.582
20:50:08:569,0.2649,0.3763,-0.2943,0.546
20:50:08:574,0.1879,0.3105,-0.3235,0.486
20:50:08:577,0.1399,0.2669,-0.3395,0.454
20:50:08:585,0.1181,0.2239,-0.3760,0.453
20:50:08:588,0.1174,0.1722,-0.4309,0.479
20:50:08:593,0.0523,0.0998,-0.3854,0.402
20:50:08:599,0.0041,0.0401,-0.2090,0.213
20:50:08:604,-0.0579,0.0143,0.0052,0.060
20:50:08:608,-0.1268,-0.0681,0.1365,0.198
20:50:08:615,-0.1929,-0.1142,0.2830,0.361
20:50:08:616,-0.2063,-0.0389,0.4689,0.514
20:50:08:622,-0.2123,0.0144,0.6159,0.652
20:50:08:628,-0.2160,0.0007,0.6700,0.704
20:50:08:649,-0.2435,-0.0012,0.6536,0.698
20:50:08:650,-0.2661,0.0254,0.6027,0.659
20:50:08:650,-0.2483,0.0399,0.5387,0.594
20:50:08:650,-0.2524,0.0043,0.4641,0.528
20:50:08:652,-0.2380,-0.0712,0.3572,0.435
20:50:08:656,-0.1984,-0.1318,0.2516,0.346
20:50:08:662,-0.1530,-0.1894,0.1990,0.314
20:50:08:667,-0.1303,-0.2346,0.1611,0.313
20:50:08:672,-0.0779,-0.2483,0.1137,0.284
20:50:08:677,-0.0147,-0.2025,-0.0026,0.203
20:50:08:681,0.0592,-0.1759,-0.1045,0.213
20:50:08:686,0.0421,-0.0830,-0.1042,0.140
20:50:08:691,0.0293,-0.0951,-0.0905,0.135
20:50:08:696,0.0896,-0.1164,-0.0659,0.161
20:50:08:700,0.2368,-0.1540,-0.1040,0.301
20:50:08:706,0.3186,-0.1888,-0.0622,0.376
20:50:08:711,0.3910,-0.1663,0.0088,0.425
20:50:08:716,0.4236,-0.1630,0.1113,0.467
20:50:08:720,0.3975,-0.2593,0.1785,0.507
20:50:08:726,0.3082,-0.3619,0.2561,0.540
20:50:08:730,0.2415,-0.4352,0.3129,0.588
20:50:08:736,0.2282,-0.4722,0.3137,0.611
20:50:08:739,0.2442,-0.4472,0.3255,0.605
20:50:08:752,0.2299,-0.3892,0.3721,0.585
20:50:08:753,0.1592,-0.4218,0.3558,0.574
20:50:08:755,0.1007,-0.4138,0.2987,0.520
20:50:08:759,-0.0147,-0.2823,0.2677,0.389
20:50:08:765,-0.1057,-0.1969,0.1958,0.297
20:50:08:769,-0.1274,-0.1383,0.1404,0.235
20:50:08:775,-0.1493,-0.0872,0.0991,0.199
20:50:08:779,-0.1782,-0.0293,0.0767,0.196
20:50:08:786,-0.1647,0.0092,0.0373,0.169
20:50:08:789,-0.1328,-0.0142,0.0027,0.134
20:50:08:794,-0.1395,-0.0066,-0.0297,0.143
20:50:08:799,-0.0777,-0.0132,-0.0525,0.095
20:50:08:805,-0.0474,-0.0529,-0.0729,0.102
20:50:08:809,-0.0033,-0.0447,-0.0722,0.085
20:50:08:813,0.0498,-0.0627,-0.0956,0.125
20:50:08:817,0.0739,-0.0520,-0.1054,0.139
20:50:08:826,0.1215,-0.0105,-0.1537,0.196
20:50:08:831,0.1664,0.0070,-0.2000,0.260
20:50:08:849,0.1778,0.0126,-0.2017,0.269
20:50:08:850,0.2442,0.0371,-0.1922,0.313
20:50:08:851,0.2748,0.0401,-0.1431,0.312
20:50:08:851,0.2822,0.0312,-0.0569,0.290
20:50:08:854,0.3117,0.0341,0.0261,0.315
20:50:08:856,0.3156,0.0227,0.0825,0.327
20:50:08:861,0.3009,0.0374,0.1129,0.324
20:50:08:867,0.2341,0.0614,0.0723,0.253
20:50:08:871,0.2366,0.0496,-0.0624,0.250
