time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
21:06:07:072,-0.1766,-0.2155,-0.0228,0.280
21:06:07:079,-0.2184,-0.2367,-0.0488,0.326
21:06:07:082,-0.2462,-0.2220,-0.0837,0.342
21:06:07:087,-0.2553,-0.1719,-0.0803,0.318
21:06:07:092,-0.2099,-0.1197,-0.0481,0.246
21:06:07:096,-0.1316,-0.0301,-0.0113,0.135
21:06:07:101,-0.0654,0.0232,-0.0149,0.071
21:06:07:106,0.0031,0.0332,-0.0632,0.071
21:06:07:112,0.0339,0.0240,-0.1038,0.112
21:06:07:117,0.0368,0.0195,-0.1677,0.173
21:06:07:124,0.0382,0.0292,-0.1883,0.194
21:06:07:129,0.0096,0.0174,-0.2042,0.205
21:06:07:136,-0.0085,0.0080,-0.2108,0.211
21:06:07:137,-0.0090,0.0272,-0.2177,0.220
21:06:07:151,-0.0609,0.0533,-0.2155,0.230
21:06:07:152,-0.0998,0.0151,-0.1874,0.213
21:06:07:152,-0.1498,0.0056,-0.1646,0.223
21:06:07:156,-0.1847,-0.0203,-0.1327,0.228
21:06:07:162,-0.2310,-0.0199,-0.0610,0.240
21:06:07:165,-0.2271,-0.0361,-0.0448,0.234
21:06:07:171,-0.2164,-0.0615,-0.0574,0.232
21:06:07:175,-0.2611,-0.0794,-0.0557,0.279
21:06:07:181,-0.3064,-0.1255,-0.0279,0.332
21:06:07:185,-0.3245,-0.1734,-0.0308,0.369
21:06:07:190,-0.3155,-0.2113,-0.1044,0.394
21:06:07:195,-0.2178,-0.1751,-0.1815,0.333
21:06:07:200,-0.1103,-0.1794,-0.1910,0.284
21:06:07:205,-0.0190,-0.1527,-0.1905,0.245
21:06:07:209,0.0780,-0.1476,-0.1660,0.235
21:06:07:215,0.1761,-0.1139,-0.1509,0.258
21:06:07:218,0.2590,-0.0852,-0.1167,0.297
21:06:07:226,0.3152,-0.0187,-0.1444,0.347
21:06:07:230,0.3664,0.0567,-0.1721,0.409
21:06:07:234,0.4034,0.1552,-0.1617,0.462
21:06:07:239,0.4054,0.2243,-0.1019,0.474
21:06:07:244,0.3656,0.2359,-0.0810,0.443
21:06:07:261,0.3507,0.2307,-0.0582,0.424
21:06:07:262,0.3176,0.1662,-0.0285,0.360
21:06:07:262,0.2689,0.0974,0.0223,0.287
21:06:07:263,0.2186,0.0386,0.0537,0.228
21:06:07:268,0.1384,-0.0174,0.0491,0.148
21:06:07:273,0.0568,-0.0610,0.0253,0.087
21:06:07:278,-0.0075,-0.1422,0.0321,0.146
21:06:07:283,-0.0495,-0.1515,0.0668,0.173
21:06:07:288,-0.0623,-0.1749,0.1076,0.215
21:06:07:293,-0.1292,-0.2052,0.1258,0.273
21:06:07:296,-0.1904,-0.1853,0.1549,0.307
21:06:07:303,-0.2151,-0.1536,0.1708,0.315
21:06:07:308,-0.2487,-0.1151,0.2165,0.349
21:06:07:312,-0.2985,-0.0649,0.2205,0.377
21:06:07:317,-0.3242,-0.0316,0.1974,0.381
21:06:07:323,-0.3500,-0.0174,0.1759,0.392
21:06:07:327,-0.3663,-0.0151,0.1370,0.391
21:06:07:334,-0.3211,0.0396,0.1356,0.351
21:06:07:336,-0.2453,0.1129,0.2023,0.337
21:06:07:346,-0.1629,0.1832,0.2515,0.351
21:06:07:348,-0.1095,0.2933,0.2383,0.393
21:06:07:366,-0.0466,0.3573,0.2227,0.424
21:06:07:366,0.0089,0.3614,0.1929,0.410
21:06:07:367,0.0407,0.3702,0.1869,0.417
21:06:07:367,0.0727,0.3456,0.1669,0.391
21:06:07:371,0.0716,0.2926,0.0925,0.315
21:06:07:376,0.0686,0.2590,0.0495,0.273
21:06:07:383,0.0447,0.2280,0.0045,0.232
21:06:07:386,0.0640,0.1996,-0.0354,0.213
21:06:07:391,0.0716,0.1168,-0.0796,0.158
21:06:07:395,0.0482,0.0797,-0.1255,0.156
21:06:07:401,0.0347,0.0240,-0.1449,0.151
21:06:07:406,0.0212,-0.0290,-0.1547,0.159
21:06:07:412,0.0148,-0.0695,-0.1693,0.184
21:06:07:418,0.0176,-0.1215,-0.1750,0.214
21:06:07:420,0.0155,-0.1254,-0.1626,0.206
21:06:07:425,0.0155,-0.1838,-0.1371,0.230
21:06:07:429,0.0296,-0.2297,-0.1317,0.266
21:06:07:434,0.0435,-0.2726,-0.1464,0.312
21:06:07:443,0.0025,-0.2961,-0.1004,0.313
21:06:07:443,-0.0194,-0.2718,-0.0437,0.276
21:06:07:450,-0.0533,-0.2523,-0.0048,0.258
21:06:07:453,-0.0775,-0.2306,0.0926,0.260
21:06:07:463,-0.1089,-0.2066,0.1274,0.266
21:06:07:464,-0.1119,-0.1305,0.1169,0.208
21:06:07:468,-0.1132,-0.0407,0.1019,0.158
21:06:07:473,-0.0914,0.0175,0.0566,0.109
21:06:07:478,-0.0827,0.0350,-0.0019,0.090
21:06:07:483,-0.0608,0.0762,-0.0711,0.121
21:06:07:489,-0.0044,0.0886,-0.1077,0.140
21:06:07:493,0.0342,0.1270,-0.1574,0.205
21:06:07:497,0.0719,0.1176,-0.2106,0.252
21:06:07:503,0.1402,0.1178,-0.2320,0.296
21:06:07:508,0.2034,0.1867,-0.2482,0.371
21:06:07:514,0.2073,0.2597,-0.2642,0.425
21:06:07:517,0.2094,0.2537,-0.2732,0.428
21:06:07:524,0.2121,0.2477,-0.2585,0.416
